browser,version,screenWidth,screenHeight,OS,OS_lang,ip,calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrome,65,1364,768,Windows,en-US,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trialNo,type,title,content,trialText,stimFormat,target,stim1,stim2,stim3,stim4,stim5,stim6,mask,fixation,key,ITI,ISI,presTime,presTime2,random,feedbackIncorrect,feedbackCorrect,button1,button2,button3,button4,button5,button6,keyboard,select,bgColor,textColor,textSize,counterTrial,counterBlock,head,body,responseType,responseOptions,required,condition1,condition2,condition3,blockLabel,orderPres,orderFile,timestamp,response,RT,correct,responseCode
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,What is your sex?,na,radio,male;female;other,1,na,na,na,demographics,1,7,128803,male,44782,0,1
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,How old are you (in years)?,na,dropdown,16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75,1,na,na,na,demographics,2,8,128803,25,44782,0,10
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,Is English your native language?,na,radio,English is my native language; English is not my native language but I speak it fluently; I am not a fluent English speaker,1,na,na,na,demographics,3,232,128803,English is my native language,44782,0,1
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,What is your nationality?,na,box,na,1,na,na,na,demographics,4,240,128803,us,44782,0,
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,What is your ethnic background?,na,radio,African;Caucasian (White European); East Asian; Hispanic; Other,1,na,na,na,demographics,5,175,128803,Caucasian (White European),44782,0,2
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,"If ""other;"" please specify:",na,box,na,na,na,na,na,demographics,6,236,128803,,44782,0,
na,test,na,na,na,.jpg,practice1,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,na,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,na,rate_trust,7,346,273230,1,3342,0,
na,test,na,na,na,.jpg,practice2,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,na,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,na,rate_trust,8,138,275293,1,1857,0,
1,test,na,na,na,.jpg,Google_1_Donna Mcgee_7_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,40,243,354560,9,1472,0,
10,test,na,na,na,.jpg,Google_1_Susan Burbank_5_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,51,45,377485,9,1810,0,
