browser,version,screenWidth,screenHeight,OS,OS_lang,ip,calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firefox,59,1440,900,MacOS,en-US,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trialNo,type,title,content,trialText,stimFormat,target,stim1,stim2,stim3,stim4,stim5,stim6,mask,fixation,key,ITI,ISI,presTime,presTime2,random,feedbackIncorrect,feedbackCorrect,button1,button2,button3,button4,button5,button6,keyboard,select,bgColor,textColor,textSize,counterTrial,counterBlock,head,body,responseType,responseOptions,required,condition1,condition2,condition3,blockLabel,orderPres,orderFile,timestamp,response,RT,correct,responseCode
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,What is your sex?,na,radio,male;female;other,1,na,na,na,demographics,1,7,227114,female,12490,0,2
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,How old are you (in years)?,na,dropdown,16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75,1,na,na,na,demographics,2,8,227114,33,12490,0,18
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,Is English your native language?,na,radio,English is my native language; English is not my native language but I speak it fluently; I am not a fluent English speaker,1,na,na,na,demographics,3,231,227114, English is not my native language but I speak it fluently,12490,0,2
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,What is your nationality?,na,box,na,1,na,na,na,demographics,4,233,227114,Swedish,12490,0,
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,What is your ethnic background?,na,radio,African;Caucasian (White European); East Asian; Hispanic; Other,1,na,na,na,demographics,5,33,227114,Caucasian (White European),12490,0,2
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,"If ""other;"" please specify:",na,box,na,na,na,na,na,demographics,6,145,227114,,12490,0,
na,test,na,na,na,.jpg,practice1,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,na,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,na,rate_trust,7,198,368600,2,1448,0,
na,test,na,na,na,.jpg,practice2,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,na,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,na,rate_trust,8,12,371056,6,2250,0,
1,test,na,na,na,.jpg,Google_1_Donna Mcgee_7_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,,,1284608,7,1318,0,
2,test,na,na,na,.jpg,Google_1_Vicky Albright_19_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,136,86,696016,4,2838,0,
3,test,na,na,na,.jpg,Google_1_Melanie Shapiro_1_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,150,79,729912,4,1294,0,
4,test,na,na,na,.jpg,Google_1_Nicole Churchill_3_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,14,332,382696,7,2626,0,
5,test,na,na,na,.jpg,Google_1_Inez Deville_19_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,116,304,637568,7,2434,0,
6,test,na,na,na,.jpg,Google_1_Karen Crespo_15_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,140,299,704688,7,2006,0,
7,test,na,na,na,.jpg,Google_1_Diane Espino_7_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,69,335,518288,2,1504,0,
8,test,na,na,na,.jpg,Google_1_Janet Lippert_1_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,50,348,464826,7,1728,0,
9,test,na,na,na,.jpg,Google_1_Susan Stiles_19_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,23,288,403264,5,2690,0,
10,test,na,na,na,.jpg,Google_1_Susan Burbank_5_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,347,358,1237688,5,1554,0,
11,test,na,na,na,.jpg,Agnes_Dilley_15_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,232,58,928200,5,1426,0,
12,test,na,na,na,.jpg,Google_1_Joseph Roeder_1_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,18,278,391984,4,2190,0,
13,test,na,na,na,.jpg,Google_1_Teresa Sykes_17_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,96,109,583840,5,2266,0,
14,test,na,na,na,.jpg,Google_1_Brandon Meier_7_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,243,78,956768,6,1446,0,
15,test,na,na,na,.jpg,Google_1_Barbara Burkholder_5_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,200,199,846216,6,3822,0,
