browser,version,screenWidth,screenHeight,OS,OS_lang,ip,calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safari,11,1280,800,MacOS,en-US,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trialNo,type,title,content,trialText,stimFormat,target,stim1,stim2,stim3,stim4,stim5,stim6,mask,fixation,key,ITI,ISI,presTime,presTime2,random,feedbackIncorrect,feedbackCorrect,button1,button2,button3,button4,button5,button6,keyboard,select,bgColor,textColor,textSize,counterTrial,counterBlock,head,body,responseType,responseOptions,required,condition1,condition2,condition3,blockLabel,orderPres,orderFile,timestamp,response,RT,correct,responseCode
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,What is your sex?,na,radio,male;female;other,1,na,na,na,demographics,1,7,58827,male,13289,0,1
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,How old are you (in years)?,na,dropdown,16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75,1,na,na,na,demographics,2,8,58827,24,13289,0,9
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,Is English your native language?,na,radio,English is my native language; English is not my native language but I speak it fluently; I am not a fluent English speaker,1,na,na,na,demographics,3,332,58827,English is my native language,13289,0,1
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,What is your nationality?,na,box,na,1,na,na,na,demographics,4,150,58827,American,13289,0,
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,What is your ethnic background?,na,radio,African;Caucasian (White European); East Asian; Hispanic; Other,1,na,na,na,demographics,5,113,58827,Caucasian (White European),13289,0,2
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,"If ""other;"" please specify:",na,box,na,na,na,na,na,demographics,6,255,58827,,13289,0,
na,test,na,na,na,.jpg,practice1,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,na,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,na,rate_trust,7,45,184104,3,3245,0,
na,test,na,na,na,.jpg,practice2,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,na,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,na,rate_trust,8,78,186527,2,2221,0,
12,test,na,na,na,.jpg,Google_1_Joseph Roeder_1_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,15,21,200015,5,1830,0,
13,test,na,na,na,.jpg,Google_1_Teresa Sykes_17_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,21,208,210023,7,1292,0,
